Year,County,IncomeClass,Disclosure,ReturnCount,TotalIncome,TotalDeductions,TotalExemptions,TotalTaxableIncome,TotalTaxBeforeCredits,TotalTaxLiability,Place of Residence Sort Order,Income Class Sort Order
2010,Erie,"500,000 and over",,1709,2278304,50339,2115,2225850,198894,175667,20,13
2011,Monroe,"200,000 - 249,999",,3006,666970,73108,3538,590324,40464,39216,32,11
2001, Otsego ,"5,000 - 9,999",,2818,20883,18247,36,2600,104,-271,42,2
2008, Madison ,"30,000 - 39,999",,2790,97115,31750,1739,63627,3107,2397,31,5
1999, Niagara ,"100,000 - 199,999",,3245,402226,50448,3841,347937,22395,22208,35,10
2002, Schoharie ,"50,000 - 59,999",,877,48229,11939,890,35400,1813,1760,49,7
2002, Cattaraugus ,"30,000 - 39,999",,3443,119789,39833,2828,77129,3630,3387,10,5
2012,Cayuga,"5,000 - 9,999",,3287,24526,20620,60,3846,154,-491,11,2
2004, Schuyler ,"60,000 - 74,999",,488,32728,7121,510,25098,1353,1307,50,8
2002, Dutchess ,"100,000 - 199,999",,12041,1576286,237781,15639,1322866,86323,82986,19,10
2002, Genesee ,"40,000 - 49,999",,2223,99405,28069,2221,69115,3390,3252,24,6
2004, Chemung ,"100,000 - 199,999",,1508,194995,27944,1890,165161,10829,10294,13,10
2008, Warren ,Total,,31653,1361372,341977,14652,1040967,61670,53608,58,14
2010,Schuyler,"Under 5,000",,1355,-835,2207,0,100,4,-117,50,1
2000, Rockland ,Total,,128345,8214100,1611837,82097,6520060,406220,360136,45,12
2002, Ontario ,Total,,44601,1787469,456970,25402,1305098,74366,69176,38,12
2009,Oswego,"40,000 - 49,999",,3810,170606,46860,3002,120744,6153,5295,41,6
2007, Livingston ,"Under 5,000",,4380,8091,7610,0,482,19,-374,30,1
2005, Rensselaer ,"30,000 - 39,999",,7392,257233,78138,3952,175143,8706,8046,44,5
2003, Steuben ,"100,000 - 199,999",,1445,187355,26721,1810,158827,10438,10141,52,10
2006, Washington ,"20,000 - 29,999",,3793,93756,40206,2318,51232,2279,826,59,4
2012,Schoharie,"20,000 - 29,999",,1628,40363,17122,924,22317,996,263,49,4
2011,Niagara,"10,000 - 19,999",,16284,239796,145339,5360,89097,3639,-2626,35,3
2012,New York City - Richmond,"50,000 - 59,999",,11514,631402,163598,7613,460191,24674,21892,5,7
2003, Genesee ,"60,000 - 74,999",,1972,132012,28376,2307,101329,5463,5314,24,8
2011,Schuyler,"60,000 - 74,999",,564,37841,8048,452,29341,1614,1449,50,8
2012,Montgomery,"Under 5,000",,3663,-4474,5724,0,218,9,-488,33,1
2011,Residence Unknown ++,Total,,7561,3089663,152396,4053,3153744,274341,247399,66,14
2006, Suffolk ,"75,000 - 99,999",,63031,5470925,1428181,67610,3975096,229119,213434,53,9
2006, Lewis ,"Under 5,000",,1723,3300,3082,0,217,9,-224,29,1
2010,Essex,"20,000 - 29,999",,2122,52681,22545,1137,28999,1294,459,21,4
2001, Niagara ,"10,000 - 19,999",,16822,247421,151320,5713,90388,3680,191,35,3
2012,New York City - Manhattan,"Under 5,000",,115613,-5356234,137502,13,4071,163,-9921,3,1
2012,Delaware,"250,000 - 499,999",,89,29285,2135,33,27117,1839,1677,18,12
2011,Fulton,"Under 5,000",,3615,-595,5780,0,242,10,-541,23,1
1999, Greene ,"Under 5,000",,3053,6817,6489,0,328,13,-75,25,1
2000, Chenango ,"200,000 and over",,128,72279,3047,111,69121,4735,4600,14,11
2009,Erie,"200,000 - 249,999",,2749,609548,65917,3462,540169,37024,35869,20,11
2008, Suffolk ,"40,000 - 49,999",,49088,2200758,728634,28136,1443987,75953,67340,53,6
2000, Saratoga ,"100,000 - 199,999",,7018,906842,119543,8360,778939,50690,50219,47,10
2003, Wayne ,"200,000 and over",,178,84128,3829,179,80120,6091,5059,60,11
2003, Seneca ,"100,000 - 199,999",,405,51130,7242,430,43458,2833,2749,51,10
1999, Steuben ,"5,000 - 9,999",,4906,36270,31557,93,4619,185,-395,52,2
1999, Hamilton ,"5,000 - 9,999",,349,2597,2307,9,281,11,-12,26,2
2009,Albany,"250,000 - 499,999",,1528,512138,41773,1971,468394,34550,32502,7,12
2012,Washington,"75,000 - 99,999",,1997,172310,30899,1849,139562,7834,6741,59,9
2004, Schenectady ,"30,000 - 39,999",,6815,237031,73254,3805,159972,7913,7405,48,5
2004, Nassau ,"100,000 - 199,999",,82175,11111375,2132418,104011,8874947,588465,575031,34,10
2006, NYS Unclassified + ,"100,000 - 199,999",,141,18725,3346,111,15268,1008,986,65,10
2004, Fulton ,"75,000 - 99,999",,1267,108226,19711,1411,87104,5000,4859,23,9
2012,Sullivan,"20,000 - 29,999",,4230,104886,45301,3016,56569,2511,390,54,4
2005, New York City - Bronx ,"40,000 - 49,999",,41002,1826511,497880,37817,1290815,67544,60192,1,6
2003, Herkimer ,"75,000 - 99,999",,1227,104770,18837,1495,84437,4840,4724,27,9
2004, Residence Unknown ++ ,"100,000 - 199,999",,454,62258,9088,229,52940,3585,3319,66,10
2012,Chemung,"5,000 - 9,999",,3616,26958,23194,86,3678,147,-656,13,2
2005, Cattaraugus ,"200,000 and over",,220,102319,5747,251,96330,7222,6377,10,11
2004, Greene ,"30,000 - 39,999",,1945,67659,21848,1279,44532,2158,2056,25,5
2001, Madison ,"20,000 - 29,999",,3998,98956,40640,2586,55730,2468,1878,31,4
2012,Sullivan,"200,000 - 249,999",,180,39722,4475,158,35089,2338,2195,54,11
2011,Orange,"40,000 - 49,999",,10353,463957,135886,7687,320384,16781,14013,39,6
2006, NYS Unclassified + ,"10,000 - 19,999",,357,5142,3282,76,1783,73,-8,65,3
1999, Cayuga ,"20,000 - 29,999",,4766,117732,47489,3056,67186,2970,2500,11,4
2008, Seneca ,"200,000 - 249,999",,36,7994,878,38,7078,485,439,51,11
2010,Ulster,"40,000 - 49,999",,5685,254621,72664,3469,178488,9313,8243,57,6
2001, Steuben ,"10,000 - 19,999",,7463,110383,70722,3183,36478,1481,-402,52,3
2001, Wyoming ,"40,000 - 49,999",,1621,72835,19816,1734,51285,2497,2347,62,6
2010,Seneca,"100,000 - 199,999",,887,112466,16930,991,94544,6116,5602,51,10
2001, Broome ,"50,000 - 59,999",,4902,268412,61587,4573,202252,10498,10273,9,7
2008, Chenango ,"50,000 - 59,999",,1282,70159,17207,1142,51810,2705,2334,14,7
2012,Oswego,"500,000 and over",,54,55806,1701,37,54068,4162,3965,41,13
2008, Montgomery ,"Under 5,000",,3767,-1390,6848,0,324,13,-446,33,1
2004, Columbia ,"75,000 - 99,999",,1931,165130,30600,2065,132465,7650,7126,16,9
2000, Westchester ,"5,000 - 9,999",,37866,279774,227307,197,52262,2091,-2067,61,2
1999, Franklin ,"40,000 - 49,999",,1468,65307,17501,1577,46229,2260,2182,22,6
2011,Delaware,"30,000 - 39,999",,1779,61940,20528,1060,40352,1955,1390,18,5
2011,Orleans,"75,000 - 99,999",,1271,109546,19640,1263,88642,5120,4731,40,9
2001, New York City - Richmond ,"60,000 - 74,999",,16017,1074463,239775,15561,819127,45822,44236,5,8
2005, Delaware ,"Under 5,000",,3610,6678,6380,0,287,12,-220,18,1
2007, Onondaga ,"75,000 - 99,999",,16715,1447452,272704,17918,1156830,67142,62142,37,9
2005, Hamilton ,"5,000 - 9,999",,275,2022,1765,1,255,10,-19,26,2
2002, Monroe ,"10,000 - 19,999",,50062,743112,459064,20485,263562,10737,-3181,32,3
2009,Steuben,"10,000 - 19,999",,6898,101873,66309,2709,32855,1335,-1956,52,3
2011,Sullivan,"75,000 - 99,999",,2435,210706,42343,2257,166106,9701,8909,54,9
2011,Montgomery,"50,000 - 59,999",,1337,73281,17323,955,55003,2955,2650,33,7
2004, Albany ,"30,000 - 39,999",,13928,484458,141894,6672,335892,16897,15919,7,5
2012,Saratoga,"60,000 - 74,999",,7361,494889,104664,5131,385094,21123,19659,47,8
2005, Tompkins ,"30,000 - 39,999",,3635,126341,39698,1826,84784,4181,3837,56,5
2001, Albany ,"200,000 and over",,2295,1047585,63780,2931,980869,67189,64996,7,11
2011,Livingston,"30,000 - 39,999",,2618,91075,28895,1585,60595,2982,2210,30,5
2012,New York City - Manhattan,"5,000 - 9,999",,61987,469187,419768,2005,47413,1898,-12905,3,2
2008, Oneida ,"75,000 - 99,999",,6716,579112,106989,7086,465036,26897,24931,36,9
2010,Schenectady,"10,000 - 19,999",,10450,154395,96833,4256,53306,2170,-2481,48,3
2010,Franklin,"200,000 - 249,999",,49,10966,1014,46,9906,679,662,22,11
2005, Madison ,"100,000 - 199,999",,1561,201131,30175,2025,168927,11033,10456,31,10
2007, Ontario ,"5,000 - 9,999",,4686,34543,28130,41,6372,255,-480,38,2
2006, St. Lawrence ,"Under 5,000",,6729,13200,12545,0,727,29,-682,46,1
2005, Hamilton ,"60,000 - 74,999",,129,8672,1951,104,6617,360,344,26,8
2006, Fulton ,"Under 5,000",,3463,6916,6572,0,356,14,-444,23,1
2011,New York City - Kings,"200,000 - 249,999",,8024,1781188,185928,7752,1587508,108948,104325,2,11
2004, Columbia ,"100,000 - 199,999",,1656,214103,31399,1656,181048,11900,11178,16,10
2000, Columbia ,"Under 5,000",,3869,8657,8136,0,520,21,-148,16,1
2003, New York City - Bronx ,"60,000 - 74,999",,20153,1345020,286128,19204,1039688,59389,57710,1,8
2005, New York City - Richmond ,"Under 5,000",,26157,48338,45954,0,2350,94,-1099,5,1
2012,Seneca,"30,000 - 39,999",,1401,48767,15501,898,32368,1562,1129,51,5
2012,Delaware,"60,000 - 74,999",,1135,76156,16638,968,58550,3150,2806,18,8
2010,Suffolk,"40,000 - 49,999",,47071,2109719,665078,28518,1416123,74259,65600,53,6
2000, Westchester ,"40,000 - 49,999",,30844,1381521,365319,17000,999202,53026,50214,61,6
1999, Albany ,"75,000 - 99,999",,8760,752246,124944,9686,617616,35827,35540,7,9
2006, Cortland ,"20,000 - 29,999",,2736,67519,28501,1685,37334,1666,639,17,4
2005, Schoharie ,"200,000 and over",,78,39494,2086,65,37343,2802,2589,49,11
2012,Columbia,"5,000 - 9,999",,2336,17359,14741,27,2591,104,-331,16,2
2011,Cattaraugus,"75,000 - 99,999",,2080,178850,31878,2008,144964,8379,7469,10,9
2006, Delaware ,"100,000 - 199,999",,767,98814,14954,691,83169,5404,5129,18,10
2003, Herkimer ,"20,000 - 29,999",,3888,95981,40974,2626,52381,2319,1455,27,4
2004, Schoharie ,"20,000 - 29,999",,1766,44055,18672,1069,24314,1083,701,49,4
1999, Albany ,"100,000 - 199,999",,7655,996987,128785,8909,859293,56046,55514,7,10
2011,Schenectady,"200,000 - 249,999",,510,112813,11930,596,100287,6872,6685,48,11
1999, Cattaraugus ,"Under 5,000",,5538,12566,11853,0,713,29,-206,10,1
2011,Genesee,Total,,27555,1240365,273647,14253,966952,61402,52813,24,14
2002, Washington ,"30,000 - 39,999",,2726,94442,31623,2155,60664,2859,2547,59,5
2010,New York City - Manhattan,"20,000 - 29,999",,74752,1847668,756273,39526,1051870,47467,18621,3,4
2009,Otsego,"10,000 - 19,999",,4010,59809,38606,1347,19855,808,-864,42,3
2002, Genesee ,Total,,26717,885838,254576,15541,615721,33241,30135,24,12
2000,"Grand Total, Full-Year Resident","40,000 - 49,999",,615956,27559375,7157654,449019,19952666,1035181,1002229,67,6
2006, New York City - Manhattan ,"30,000 - 39,999",,76407,2661437,788947,38841,1833646,93235,74659,3,5
2000, Chenango ,"30,000 - 39,999",,2259,78515,25090,1978,51447,2402,2267,14,5
2002, Dutchess ,"200,000 and over",,2199,955182,60478,2504,892211,61116,57906,19,11
2011,Ulster,"100,000 - 199,999",,8270,1093715,181369,8888,903458,59156,56301,57,10
2001, Albany ,"5,000 - 9,999",,13641,100100,83370,103,16628,665,-918,7,2
2002, Delaware ,"40,000 - 49,999",,1415,63440,18091,1346,44003,2151,2052,18,6
2003, Chenango ,"75,000 - 99,999",,991,84728,14958,1268,68502,3934,3811,14,9
2011,Ontario,"40,000 - 49,999",,3561,159330,43400,2162,113768,5894,5121,38,6
2006,"Grand Total, Full-Year Resident","60,000 - 74,999",,543846,36503710,8548952,435732,27519005,1552262,1424481,67,8
2001, Orleans ,"Under 5,000",,2670,5755,5401,0,354,14,-156,40,1
2008, Fulton ,"100,000 - 199,999",,1109,139402,20979,1118,117305,7575,7154,23,10
2002, Tioga ,Total,,21592,771447,214416,13201,543829,29983,26044,55,12
2011,Rensselaer,"500,000 and over",,130,128336,3918,120,124298,11057,9693,44,13
2000, Ontario ,"30,000 - 39,999",,4661,162083,49566,3123,109395,5267,5056,38,5
2001, Otsego ,Total,,24572,812722,233730,12756,566237,31360,28266,42,12
2012,Rensselaer,"100,000 - 199,999",,7576,992131,142796,8302,841032,52355,49703,44,10
2003, New York City - Manhattan ,"100,000 - 199,999",,70091,9720441,1219595,22797,8478043,580767,557564,3,10
2002, Saratoga ,"50,000 - 59,999",,6057,332763,79566,5253,247944,13005,12740,47,7
2000, Nassau ,"20,000 - 29,999",,66260,1649953,696624,30647,922675,41400,35594,34,4
2000, Onondaga ,"50,000 - 59,999",,12428,682038,152746,11692,517600,27220,26861,37,7
2004, New York City - Bronx ,"30,000 - 39,999",,62554,2169993,705361,61749,1402883,67811,51316,1,5
2006, Residence Unknown ++ ,"20,000 - 29,999",,3321,84928,29062,797,55069,2588,2098,66,4
2008, Greene ,"500,000 and over",,46,57604,2348,62,55194,3781,3456,25,13
2011,Schuyler,"5,000 - 9,999",,805,6033,5185,15,832,33,-125,50,2
1999, Steuben ,"60,000 - 74,999",,2423,161581,31600,2617,127364,6919,6781,52,8
2007, Seneca ,"50,000 - 59,999",,931,50978,12688,856,37434,1959,1680,51,7
2010,Nassau,"100,000 - 199,999",,101031,13976649,2871481,121050,10984118,726033,700585,34,10
2007, Greene ,"250,000 - 499,999",,129,42476,3061,100,39315,2693,2593,25,12
1999, New York City - Kings ,"100,000 - 199,999",,24455,3196284,427144,26604,2742537,179643,174853,2,10
1999, Cortland ,"5,000 - 9,999",,2201,16243,14071,42,2130,85,-185,17,2
2004, St. Lawrence ,"50,000 - 59,999",,2459,134809,32793,2408,99608,5164,4994,46,7
2004, Hamilton ,"200,000 and over",,24,9690,530,15,9145,690,518,26,11
2007, Greene ,Total,,21372,906592,225459,10352,670781,39219,34085,25,14
2001, Niagara ,"20,000 - 29,999",,12178,300591,120651,6656,173283,7716,6363,35,4
2011,Cortland,"250,000 - 499,999",,106,34235,2554,107,31574,2306,1921,17,12
2000, Livingston ,"75,000 - 99,999",,1721,146868,23941,2152,120775,6958,6892,30,9
2004, Dutchess ,"Under 5,000",,17807,33899,31666,1,2231,89,-570,19,1
2006, Sullivan ,"200,000 and over",,409,210070,11251,302,198517,13598,11296,54,11
2007, Broome ,"5,000 - 9,999",,9763,72111,60442,80,11589,464,-1358,9,2
2004, Putnam ,"100,000 - 199,999",,7162,956857,176397,9329,771131,50910,47400,43,10
2009,Rensselaer,"75,000 - 99,999",,6149,532271,100870,5670,425731,24789,22724,44,9
2012,Franklin,"10,000 - 19,999",,3139,46527,29696,1345,15486,631,-916,22,3
2010,Washington,"75,000 - 99,999",,1810,155637,28745,1781,125111,7225,6420,59,9
2003, Nassau ,"5,000 - 9,999",,51974,383781,320251,454,63076,2524,-4048,34,2
2002, Saratoga ,"20,000 - 29,999",,10728,266740,106816,5124,154800,6968,5617,47,4
2005, Schuyler ,"50,000 - 59,999",,475,26050,6626,400,19024,978,917,50,7
2006, Livingston ,"10,000 - 19,999",,4061,60295,38254,1306,20735,844,-555,30,3
2007, Herkimer ,"Under 5,000",,4414,8794,8354,0,439,18,-358,27,1
2002, St. Lawrence ,"20,000 - 29,999",,5039,124627,54934,3694,66000,2895,1932,46,4
2012,New York City - Manhattan,Total,,861500,157424684,11208300,289146,151425058,11686242,10927561,3,14
2005, Steuben ,Total,,40547,1605582,409432,23265,1172690,69621,61624,52,12
2002, Hamilton ,"50,000 - 59,999",,129,7111,1728,86,5298,273,271,26,7
2000, Hamilton ,"5,000 - 9,999",,346,2541,2226,2,313,12,-15,26,2
2007, Broome ,"Under 5,000",,14728,29082,27524,0,1623,65,-833,9,1
2010,Westchester,"5,000 - 9,999",,31438,234469,196818,453,37199,1489,-4034,61,2
2007, Columbia ,"250,000 - 499,999",,298,102045,8502,201,93342,6394,6023,16,12
2012,Rensselaer,"50,000 - 59,999",,4324,236815,53826,2366,180623,9711,8793,44,7
2002, Chemung ,"50,000 - 59,999",,2168,118756,28560,2052,88145,4531,4350,13,7
2009,Rensselaer,"250,000 - 499,999",,402,133333,10057,445,122832,9064,8415,44,12
2008, Sullivan ,"10,000 - 19,999",,5317,78854,51562,2443,24849,1011,-1589,54,3
2010,Madison,"75,000 - 99,999",,2285,197197,36980,2363,157855,9127,8404,31,9
2011,New York City - Richmond,"20,000 - 29,999",,19611,486215,218790,13423,254001,11300,2210,5,4
2004, Seneca ,"200,000 and over",,70,32412,1883,56,30472,2298,1983,51,11
2001, Ulster ,Total,,75884,2974422,751663,39950,2182809,125065,117288,57,12
2007, Oneida ,"75,000 - 99,999",,6639,573022,106036,7113,459873,26575,24452,36,9
2012,Rensselaer,Total,,72182,3418571,751895,34552,2674307,156680,134776,44,14
2010,Warren,"75,000 - 99,999",,2205,190712,36744,2023,151945,8808,8209,58,9
2007, Livingston ,"500,000 and over",,47,75620,3459,47,72113,4940,1930,30,13
2010,Putnam,"200,000 - 249,999",,1140,251894,35363,1506,215025,14737,13642,43,11
2002, Hamilton ,"10,000 - 19,999",,456,6658,4473,98,2087,85,5,26,3
2008, Sullivan ,"75,000 - 99,999",,2482,213834,47036,2374,164424,9534,8715,54,9
2010,Rockland,"20,000 - 29,999",,13088,322796,152054,10504,160238,7133,597,45,4
2003, Steuben ,"50,000 - 59,999",,2362,129282,32412,2479,94392,4835,4589,52,7
2008, Broome ,"5,000 - 9,999",,9254,68431,57619,141,10671,427,-1304,9,2
2005, New York City - Kings ,"75,000 - 99,999",,43127,3698237,707259,38480,2952504,175541,170457,2,9
2006, Schenectady ,"10,000 - 19,999",,10579,157269,98166,4078,55025,2244,-1895,48,3
2012,Yates,"75,000 - 99,999",,633,54240,10020,742,43478,2429,2006,63,9
2003, Oswego ,"100,000 - 199,999",,2057,251921,34637,2615,214669,13835,13581,41,10
2010,Greene,"500,000 and over",,34,31409,1326,35,30048,2679,2589,25,13
2003, Saratoga ,"50,000 - 59,999",,6219,341262,83413,5250,252599,13278,12969,47,7
2006, Tompkins ,Total,,35995,1818782,400061,16857,1401864,84378,75327,56,12
2001, Westchester ,Total,,419491,43078539,6044000,242281,36792451,2402705,2231360,61,12
2007, NYS Unclassified + ,"60,000 - 74,999",,26,1750,490,19,1241,71,65,65,8
2004, Monroe ,"10,000 - 19,999",,47985,710136,440611,19742,249746,10174,-5947,32,3
2009,Warren,"250,000 - 499,999",,261,86621,6643,275,79703,5872,5554,58,12
2009,Ontario,"250,000 - 499,999",,502,170214,13939,632,155643,11517,11028,38,12
2002, Yates ,"20,000 - 29,999",,1461,36045,15824,1088,19133,844,543,63,4
2002, Rockland ,"5,000 - 9,999",,10770,79800,66930,59,12811,513,-1290,45,2
2009,Sullivan,Total,,32796,1348912,370225,18510,982131,58789,46467,54,14
2007, Clinton ,Total,,35285,1441561,363115,17259,1061233,61292,50578,15,14
2009,Cayuga,"60,000 - 74,999",,2331,156438,33413,2147,120878,6662,5933,11,8
2006, Oneida ,"200,000 and over",,1125,539897,29181,1413,509303,34887,30170,36,11
2012,Dutchess,"250,000 - 499,999",,2025,661148,53490,2388,605270,40882,38128,19,12
2009,Putnam,"10,000 - 19,999",,4425,65357,41927,860,22571,923,-143,43,3
2009,Orleans,"500,000 and over",d/,,,,,,,,40,13
2005, Otsego ,"75,000 - 99,999",,1464,125865,23145,1563,101157,5832,5626,42,9
2010,Hamilton,"30,000 - 39,999",,217,7546,2500,120,4926,241,185,26,5
2012,Seneca,"40,000 - 49,999",,1128,50563,13513,790,36260,1837,1556,51,6
2000, New York City - Bronx ,"75,000 - 99,999",,12846,1096437,187064,13167,896206,52897,51762,1,9
2005, Onondaga ,"200,000 and over",,3791,1717926,98599,4908,1614414,120696,102662,37,11
2009,Schuyler,Total,,8176,294976,81777,3962,212320,12103,9477,50,14
2009,Madison,"30,000 - 39,999",,2821,98304,32036,1768,64500,3154,2271,31,5
2005, Sullivan ,"5,000 - 9,999",,3253,24269,21202,58,2986,119,-600,54,2
2003, Delaware ,"100,000 - 199,999",,535,68837,9238,533,59066,3886,3777,18,10
2001, Cortland ,"20,000 - 29,999",,2829,69955,28308,1850,39797,1765,1351,17,4
1999, Niagara ,"200,000 and over",,467,214356,9086,534,204736,14024,13526,35,11
2011,NYS Unclassified +,"20,000 - 29,999",d/,,,,,,,,65,4
2005, Oneida ,Total,,98653,3695520,956890,52262,2686019,157469,136486,36,12
2009,Cattaraugus,"100,000 - 199,999",,1471,186735,27535,1734,157466,10191,9356,10,10
2009,Clinton,"75,000 - 99,999",,2657,229273,41830,2721,184722,10693,9821,15,9
2006, Oneida ,"75,000 - 99,999",,6354,546242,101766,7268,437207,25201,23310,36,9
2004, Hamilton ,"30,000 - 39,999",,271,9338,3390,162,5786,269,253,26,5
2009,New York City - Richmond,"75,000 - 99,999",,19953,1728891,377770,18861,1332261,78470,71633,5,9
2007, New York City - Bronx ,"75,000 - 99,999",,20898,1788917,340211,18791,1429915,85439,80435,1,9
2012,Seneca,Total,,14807,599420,145305,7419,453077,26285,20841,51,14
2009,Washington,"500,000 and over",,22,19837,457,16,19364,1726,1511,59,13
2012,Warren,"5,000 - 9,999",,3101,23004,19221,44,3739,150,-389,58,2
2006, Rockland ,"75,000 - 99,999",,11031,958882,249816,11604,697464,40530,34318,45,9
2006, NYS Unclassified + ,"75,000 - 99,999",,133,11412,2412,83,8917,533,511,65,9
2006, Chenango ,"100,000 - 199,999",,834,105550,14942,937,89671,5799,5544,14,10
2001, Wyoming ,"50,000 - 59,999",,1279,70080,16497,1442,52141,2652,2509,62,7
2004, Erie ,"100,000 - 199,999",,23420,3017717,434421,30086,2553210,167180,163978,20,10
2012,Tioga,"30,000 - 39,999",,2233,77781,25148,1368,51265,2453,1555,55,5
2004, Franklin ,"50,000 - 59,999",,1110,60692,14757,1065,44869,2333,2263,22,7
2003, Cayuga ,"40,000 - 49,999",,2642,118288,32447,2343,83497,4193,3963,11,6
2000, Chenango ,"100,000 - 199,999",,514,65448,7459,563,57425,3732,3652,14,10
1999, Herkimer ,"10,000 - 19,999",,5628,83491,52581,2372,28538,1160,25,27,3
2007, Monroe ,"200,000 - 249,999",,2992,664743,72928,3588,588230,40293,39149,32,11
2009,New York City - Richmond,"5,000 - 9,999",,16838,125748,107699,206,17844,714,-2900,5,2
2009,Warren,Total,,31491,1332003,336932,14666,1025828,63749,54351,58,14
2009,Chenango,"200,000 - 249,999",,53,11745,905,43,10797,740,639,14,11
2001, Madison ,"30,000 - 39,999",,2955,102789,32396,2284,68109,3247,3071,31,5
2009,Columbia,"20,000 - 29,999",,3401,84775,36631,1751,46393,2083,738,16,4
2009,Albany,"60,000 - 74,999",,9562,643197,134248,6390,502559,28630,26846,7,8
2007, Washington ,"75,000 - 99,999",,1841,158080,29988,1929,126164,7250,6313,59,9
2003, New York City - Kings ,"10,000 - 19,999",,185026,2694707,1866190,108634,719869,29154,-75282,2,3
2000, Saratoga ,"Under 5,000",,12508,29255,26806,1,2446,98,-108,47,1
2007, Orleans ,"200,000 - 249,999",,44,9742,917,76,8748,599,584,40,11
